hakurei_reimu, touhou, 1girl, brown_hair, red_eyes
kirisame_marisa, touhou, 1girl, blonde_hair, yellow_eyes
remilia_scarlet, touhou, 1girl, red_eyes, blue_hair
flandre_scarlet, touhou, 1girl, blonde_hair, red_eyes
izayoi_sakuya, touhou, 1girl, grey_hair, blue_eyes
artoria_pendragon_(fate), fate_(series), 1girl, blonde_hair, green_eyes
kochiya_sanae, touhou, 1girl, green_hair, green_eyes
alice_margatroid, touhou, 1girl, blonde_hair, blue_eyes
patchouli_knowledge, touhou, 1girl, purple_hair, purple_eyes
konpaku_youmu, touhou, 1girl, grey_hair, blue_eyes
cirno, touhou, 1girl, blue_hair, blue_eyes
silver_(pokemon), pokemon, 1girl, red_hair, brown_hair
komeiji_koishi, touhou, 1girl, green_eyes, green_hair
yakumo_yukari, touhou, 1girl, blonde_hair, purple_eyes
shameimaru_aya, touhou, 1girl, black_hair, red_eyes
reisen_udongein_inaba, touhou, 1girl, red_eyes, purple_hair
fujiwara_no_mokou, touhou, 1girl, red_eyes, white_hair
komeiji_satori, touhou, 1girl, pink_hair, pink_eyes
hong_meiling, touhou, 1girl, red_hair, blue_eyes
akemi_homura, mahou_shoujo_madoka_magica, 1girl, black_hair, purple_eyes
kaname_madoka, mahou_shoujo_madoka_magica, 1girl, pink_hair, pink_eyes
saigyouji_yuyuko, touhou, 1girl, pink_hair, pink_eyes
inubashiri_momiji, touhou, 1girl, red_eyes, white_hair
kaga_(kancolle), kantai_collection, 1girl, brown_hair, brown_eyes
yakumo_ran, touhou, 1girl, blonde_hair, yellow_eyes
kagamine_rin, vocaloid, 1girl, blonde_hair, blue_eyes
kaenbyou_rin, touhou, 1girl, red_hair, red_eyes
konpaku_youmu_(ghost), touhou, 1girl, blue_eyes, grey_hair
moriya_suwako, touhou, 1girl, blonde_hair, yellow_eyes
rumia, touhou, 1girl, blonde_hair, red_eyes
shimakaze_(kancolle), kantai_collection, 1girl, blonde_hair, brown_eyes
miki_sayaka, mahou_shoujo_madoka_magica, 1girl, blue_hair, blue_eyes
kazami_yuuka, touhou, 1girl, green_hair, red_eyes
reiuji_utsuho, touhou, 1girl, red_eyes, black_hair
chen, touhou, 1girl, brown_hair, brown_eyes
